source,run,N_rpm,omega_rad_s,torque_Nm,T_K,rho_kgm3,mu_Pas,P_w_W,P_w_reported_W,Re_Omega,Cp,Pi_gap,Pi_confinement,Pi_aspect_axial,R_m,R_chamber_m,gap_radial_m,h_rotor_m,P_w_pct_diff
Gorland1970,gap_0.116in,2705,283.2669375986797,0.0587747080458,296.4833333333333,1.1559133346282615,1.829228628297114e-05,16.648931556390245,16.65,415741.2385433076,0.015416244605446694,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.006417078737257925
Gorland1970,gap_0.116in,2955,309.4468763785946,0.06828238140615,296.4833333333333,1.1559133346282615,1.829228628297114e-05,21.129769637824946,21.13,454164.6432145929,0.015007776020469144,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.001090213795801181
Gorland1970,gap_0.116in,3345,350.2875808752619,0.0847047263013,296.4833333333333,1.1559133346282615,1.829228628297114e-05,29.671013664783548,29.67,514105.154501798,0.014529077829349488,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.003416463712658982
Gorland1970,gap_0.116in,3830,401.0766621082969,0.10179368168755,297.0388888888889,1.1537514154358093,1.831871272291206e-05,40.82707007495702,42.6397,586698.017567465,0.013343167940443837,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-4.25103817579152
Gorland1970,gap_0.116in,4247,444.74479999319504,0.12878575733565,297.0388888888889,1.1537514154358093,1.831871272291206e-05,57.276795888215815,57.28,650576.1045976564,0.013729002752770086,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.0055937705729498435
Gorland1970,gap_0.116in,4604,482.1297525709136,0.1486654379982,297.59444444444443,1.151597568075614,1.8345115189102507e-05,71.67603083791866,71.68,702933.3734378512,0.013510971267927392,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.0055373354929507835
Gorland1970,gap_0.116in,4845,507.3672135547516,0.163376062734,297.59444444444443,1.151597568075614,1.8345115189102507e-05,82.89165771089586,82.89,739728.9735678517,0.013407507496568789,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.001999892503143633
Gorland1970,gap_0.116in,5254,550.1975933986924,0.185747058876,297.59444444444443,1.151597568075614,1.8345115189102507e-05,102.19758477446042,102.198,802174.6186017529,0.012962506721159152,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.0004062951716956489
Gorland1970,gap_0.116in,5651,591.7713361811973,0.21354132681,298.15,1.149451747425912,1.8371493734583912e-05,126.36763629625942,126.37,859943.9295665625,0.012905906133254375,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.001870462721045193
Gorland1970,gap_0.116in,6070,635.6489135763348,0.24110962508599998,298.15,1.149451747425912,1.8371493734583912e-05,153.2610712387133,153.26,923705.4773436623,0.012629738119366239,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.0006989682326166487
Gorland1970,gap_0.116in,6456,676.0707390525235,0.27229343789,298.15,1.149451747425912,1.8371493734583912e-05,184.08962579344472,184.09,982445.2325750714,0.01260861290306233,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.00020327370051525525
Gorland1970,gap_0.116in,6851,717.435042324789,0.30166949343,298.7055555555555,1.1473139087006237,1.8397848412234544e-05,216.42826578704972,216.43,1039124.8762779819,0.012427653189524632,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.0008012812226965757
Gorland1970,gap_0.116in,7256,759.8465431482513,0.33364420003699996,299.26111111111106,1.1451840074462367,1.8424179274770107e-05,253.51839203957806,253.52,1096940.1926907543,0.012276135736752245,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.0006342538742307839
Gorland1970,gap_0.116in,7653,801.4202859307562,0.367313679079,300.3722222222222,1.140947841180506,1.8476769764548863e-05,294.3726337137702,294.37,1149396.8671837735,0.01219427006994335,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.0008946950335273262
Gorland1970,gap_0.116in,7952,832.7314927115345,0.39239631111699996,301.4833333333333,1.136742899535748,1.852926562241358e-05,326.7607658909591,326.76,1186530.664178242,0.012110382149199227,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.00023438944763352334
Gorland1970,gap_0.116in,8541,894.4114284770142,0.446854998695,303.15,1.1304932821871538,1.860783288351041e-05,399.67221770488925,399.67,1262058.432071861,0.012020682199255025,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.0005548840016096076
Gorland1970,gap_0.116in,9032,945.828828240767,0.496116384139,305.3722222222222,1.1222665768389475,1.8712261880562167e-05,469.2411782812366,469.24,1317504.8513850272,0.012021747655496164,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.00025110417624350366
Gorland1970,gap_0.116in,9485,993.2668773099729,0.537581816382,307.0388888888889,1.1161746960954353,1.879033990146568e-05,533.9622120563723,533.96,1370356.0571137257,0.011876422849040898,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.0004142737980909613
Gorland1970,gap_0.116in,9998,1046.9881116863585,0.58865095909,309.26111111111106,1.1081543271436656,1.889412155222797e-05,616.3105561000029,616.31,1426215.74310676,0.01178906247422628,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,9.023056627276259e-05
Gorland1970,gap_0.116in,10485,1097.986632429633,0.6405109956009999,310.92777777777775,1.1022142857238448,1.8971717755902607e-05,703.2725110940933,703.27,1481584.3004694222,0.01172658643826741,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.00035705974850044767
Gorland1970,gap_0.116in,10960,1147.728516111471,0.692371032112,312.59444444444443,1.0963375856026876,1.9049109699604303e-05,794.6539772844734,794.65,1534188.5124056602,0.011663298815267531,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.0005005077044512181
Gorland1970,gap_0.116in,11448,1198.8317566098651,0.745925841058,314.26111111111106,1.0905232189988232,1.9126298705516356e-05,894.2395863362532,894.24,1587567.338576653,0.011578423191707465,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-4.62586941790109e-05
Gorland1970,gap_0.116in,11920,1248.2594810263445,0.800384528636,316.4833333333333,1.0828659913477352,1.92289039617038e-05,999.0875763366887,999.08,1632657.1380850084,0.011540360740296176,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.0007583313336927621
Gorland1970,gap_0.116in,12635,1323.134105936901,0.887721801453,318.7055555555555,1.0753155460300596,1.933115383968366e-05,1174.5749920862104,1174.6,1709432.4573794906,0.011471980324259567,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.002129057874129297
Gorland1970,gap_0.116in,13380,1401.1503235010475,0.9775447405079999,323.15,1.060526190608187,1.9534599564650294e-05,1369.6871293995316,1369.7,1766735.560531458,0.01142223110583142,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.0009396656544083962
Gorland1970,gap_0.116in,14100,1476.5485471872028,1.069175436827,325.92777777777775,1.0514876664753,1.9661048045214454e-05,1578.6894379351495,1578.7,1834066.9423881439,0.011346305928028379,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.0006690355894436212
Gorland1970,gap_0.116in,15047,1575.7181552855207,1.193684718385,330.3722222222222,1.0373421717777325,1.986225407649424e-05,1880.9106824461282,1880.9,1911357.7147768189,0.01127497747363072,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.0005679433318176196
Gorland1970,gap_0.116in,15762,1650.5927801960775,1.286106308507,333.15,1.0286928965782252,1.9987321863972598e-05,2122.8377873862833,2122.8,1973063.2608042797,0.011163912037488156,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,0.0017800728416747266
Gorland1970,gap_0.116in,16482,1725.9910038822322,1.3708449302569998,337.0388888888889,1.0168234283730269,2.016154256589958e-05,2366.066017341148,2366.07,2021763.0211696692,0.011009583540056581,0.019333333333333338,0.9810333551340746,0.9833333333333334,0.15239999999999998,0.15534639999999997,0.0029464,0.14986,-0.00016832379651647515
